训练集(去重后，从原来的3174个样本削减到2339个样本)：
(sighan15-id=64) 参 -> 参	：原繁体为"蔘加"->"參加",故这里经过繁简体转换后没有错误
(sighan15-id=2622) 尽 -> 尽 	：原繁体为"儘快"->"盡快"，故这里经过繁简体转换后没有错误
(sighan15-id=2677) 尽 -> 尽 	：原繁体为"儘快"->"盡快"，故这里经过繁简体转换后没有错误
(sighan15-id=2682) 困 -> 困 	：原繁体为"很困"->"很睏"，故这里经过繁简体转换后没有错误
(sighan15-id=2744) 开 -> 开 	：原繁体为"大開天窗說亮話"->"打開天窗說亮話"，故这里的修改由原来的"28,开"改成"27,打"
(sighan15-id=2753) 尽 -> 尽 	：原繁体为"儘快"->"盡快"，故这里经过繁简体转换后没有错误
(sighan15-id=2759) 周 -> 周 	：原繁体为"近幾周"->"近幾週"，故这里经过繁简体转换后没有错误
(sighan15-id=2761) 周 -> 周 	：原繁体为"兩周"->"兩週"，故这里经过繁简体转换后没有错误
(sighan15-id=2784) 周 -> 周 	：原繁体为"周末"->"週末"，故这里经过繁简体转换后没有错误
(sighan15-id=2796) 解 -> 解 	：原繁体为"解解"->"解決"，故这里的修改由原来的"11,解"改成"12,决"
(sighan15-id=2843) 周 -> 周 	：原繁体为"周末"->"週末"，故这里经过繁简体转换后没有错误
(sighan15-id=2890) 尽 -> 尽 	：原繁体为"儘快"->"盡快"，故这里经过繁简体转换后没有错误
(sighan15-id=2936) 闲 -> 闲 	：原繁体为"閑這"->"閒著"，故这里经过繁简体转换后没有错误
(sighan15-id=2991) 真 -> 真 	：原繁体为"真真"->"真正"，故这里的修改由原来的"15,真"改成"16,正"
(sighan15-id=3032) 法 -> 法 	：原繁体为"作法"->"做法"，故这里的修改由原来的"17,法"改成"16,做"
(sighan15-id=3057) 适 -> 适 	：原繁体为"不合适"->"不合適"，故这里经过繁简体转换后没有错误

测试集：
(pid=A2-2328-1) 周 -> 周 	：原繁体为"周末"->"週末"，故这里经过繁简体转换后没有错误
(pid=A2-2961-1) 表 -> 表 	：原繁体为"手表"->"手錶"，故这里经过繁简体转换后没有错误
(pid=A2-3042-1) 复 -> 复 	：原繁体为"復習"->"複習"，故这里经过繁简体转换后没有错误
(pid=B2-1675-1) 系 -> 系 	：原繁体为"課係"->"課系"，故这里经过繁简体转换后没有错误
(pid=B2-1998-1) 里 -> 里 	：原繁体为"海里"->"海裡"，故这里经过繁简体转换后没有错误
(pid=B2-3786-3) 里 -> 里 	：原繁体为"經濟里的成長"->"經濟裡的成長"，故这里经过繁简体转换后没有错误
(pid=B2-3831-1) 周 -> 周 	：原繁体为"周末"->"週末"，故这里经过繁简体转换后没有错误
(pid=B2-3872-2) 占 -> 占 	：原繁体为"占盡先機"->"佔盡先機"，故这里经过繁简体转换后没有错误
(pid=B2-4125-2) 干 -> 干 	：原繁体为"不幹淨"->"不乾淨"，故这里经过繁简体转换后没有错误
(pid=B2-4145-1) 里 -> 里 	：原繁体为"里長"->"裡長"，故这里经过繁简体转换后没有错误
